 TICKER, CODE, EXCHANGE, NAME
EBR,EBRB,US,Centrais Electricas Brasileiras S.A.- Eletrobr?!s American Depositary Shares (Each representing one Preferred Share)
EBR,ELET3,SA,Centrais Elétricas Brasileiras S.A. - Eletrobrás
EBR,ELET5,SA,Centrais Elétricas Brasileiras S.A. - Eletrobrás
EBR,ELET6,SA,Centrais Elétricas Brasileiras S.A. - Eletrobrás
NTRS,NTRSO,US,Northern Trust Corporation
SUI,SUI,F,Sekisui Chemical Co. Ltd
AMCR,AMC,AU,Amcor PLC
MKL,MKL,F,Atea ASA
WPM,WPM,TO,Wheaton Precious Metals Corp
ZNH,1055,HK,China Southern Airlines Co Ltd
ZNH,600029,SHG,China Southern Airlines Co Ltd Class A
FMX,FEMSAUBD,MX,Fomento Económico Mexicano S.A.B. de C.V
STLD,STLD,MX,Steel Dynamics Inc
DRI,DRI,F,1&1 Drillisch AG
SJM,SJM,XETRA,Steven Madden Ltd.
SJM,SJM,F,JM SMUCKER - Frankfurt Stock Exchang
UMC,2303,TW,United Microelectronics Corporation
AGR,12A,F,Avangrid Inc
PKX,005490,KO,POSCO Holdings
MGA,MG,TO,Magna International Inc
MGA,MGA,F,Magna International Inc
BRO,BRO,F,BROOKEMONT CAPITAL - Frankfurt Stock Exchang
ZS,0ZC,F,Zscaler Inc
LYV,LYV,F,Lundin Energy AB (publ)
LYV,LYV,XETRA,Lundin Petroleum
FOXA,FOX,US,Fox Corp Class B
ATO,ATO,F,ATS Automation Tooling Systems Inc.
RYAAY,,,
RYAAY,RYA,LSE,Ryanair Holdings plc
BG,BU3,F,Bunge Limited
MOS,02M,XETRA,The Mosaic Company
MOS,02M,F,The Mosaic Company
SPOT,639,XETRA,Spotify Technology SA
SPOT,639,F,Spotify Technology SA
NVR,NVE,F,NVR Inc
KB,105560,KO,KB Financial Group
IRM,I5M,F,Iron Mountain Incorporated
AVY,AV3,F,Avery Dennison Corp
LDOS,S6IA,F,Leidos Holdings Inc
SHG,055550,KO,Shinhan Financial Group
SPLK,S0U,BE,SPLUNK
SPLK,S0U,F,Splunk Inc
PTC,PMTA,BE,PTC Inc
PTC,PMTA,F,PTC Inc
PTC,PMTA,XETRA,Ptc Inc
PTC,PMTA,STU,PTC (PMTA.SG)
HUBS,096,F,HubSpot Inc
PHG,PHI1,F,Koninklijke Philips NV
PHG,PHI1,XETRA,Koninklijke Philips NV
SIVB,SIVBP,US,SVB Financial Group
MDB,526,F,MongoDB
BURL,BUI,F,Burlington Stores Inc
ASX,3711,TW,ASE Industrial Holding Co Ltd
BEN,BEN,F,Franklin Resources Inc
IPG,IPG,F,The Interpublic Group of Companies Inc
LSXMA,BATRA,US,Liberty Media Corp Braves A
LSXMA,BATRK,US,Liberty Media Corp Braves C
LSXMA,FWONA,US,Liberty Media Formula One Corp A
LSXMA,FWONK,US,Liberty Media Formula One Corp C
LSXMA,LSXMB,US,Liberty Media Corp SiriusXM B
LSXMA,LSXMK,US,Liberty Media Corp SiriusXM C
TECH,TE1,F,Bio-Techne Corporation
RCL,0I1W,LSE,Royal Caribbean Group
OVV,OVV,TO,Ovintiv Inc
WTRG,A2A,F,Aqua America Inc.
WTRG,WTRU,US,Aqua America Inc
UAL,UAL1,F,United Airlines Holdings Inc
UAL,UAL1,BE,UNITED CONTL
SUZ,SUZB3,SA,Suzano S.A
NICE,NICE,TA,Nice Ltd
PKG,PKG,F,PKC Group Oyj
POOL,SP1,F,Pool Corporation
AXON,TCS,STU,Axon Enterprise Inc.
AXON,TCS,F,Axon Enterprise Inc.
AXON,TCS,MU,Axon Enterprise Inc.
AXON,TCS,BE,Axon Enterprise Inc.
CEA,0670,HK,China Eastern Airlines Corp Ltd
CEA,600115,SHG,China Eastern Airlines Corp Ltd
CEA,CIAH,F,China Eastern Airlines Corporation Limited
ACM,E6Z,F,AECOM
AFG,AFGB,US,American Financial Group Inc
AFG,AFGC,US,American Financial Group Inc
AFG,AFGD,US,American Financial Group Inc
AFG,AFGH,US,American Financial Group Inc. 6% SUB DEB 2055
GDDY,38D,F,Godaddy Inc
SNN,SN,LSE,Smith & Nephew PLC
MTCH,4MGN,F,Match Group Inc
SWK,SWT,US,Stanley Black Decker Inc
QGEN,QIA,XETRA,Qiagen NV
QGEN,QIA,F,QIAGEN N.V
TAP,NY7,F,Molson Coors Brewing Co Class B
SRPT,AB3A,F,Sarepta Therapeutics Inc
SRPT,AB3A,BE,SAREPTA THERAP
SRPT,AB3A,MU,SAREPTA THERAP
SRPT,AB3A,STU,SAREPTA THERAP (AB3A.SG)
NMR,,,
NMR,8604,TSE,Nomura Holdings Inc
GFL,GFL,TO,Gfl Environmental Holdings Inc
GFL,GFLU,US,GFL Environmental Inc
KEP,015760,KO,Korea Electric Power Corp
CE,DG3,F,Celanese Corporation
OKTA,0OK,F,Okta Inc
PCTY,0P7,F,Paylocity Holding Corporation
WPP,0WP,F,WPP PLC
WPP,WPP,LSE,WPP PLC
AEG,AEB,US,Aegon N.V. PERP CAP FLTG RT
NWSA,NC0,F,News Corporation
NWSA,NWS,AU,News Corp B DRC
NWSA,NWS,US,News Corp B
NWSA,NWSLV,AU,News Corp DRC B
IHG,IC1H,F,InterContinental Hotels Group PLC
IHG,IHG,LSE,InterContinental Hotels Group PLC
JAZZ,J7Z,STU,JAZZ PHARMACEUTICAL (J7Z.SG)
