 TICKER, NAME, TITLE, YEAR BORN
AKU,Mr. Paul  Nelis,Chief Information Officer,1968
AKU,Darren  Speed,Chief Compliance Officer,NA
AKU,Ms. Tracy  Wiese,Chief Strategy & Marketing Officer,1969
AKU,Ms. Holly  Huso,Enterprise Sales Officer,1964
AKU,Ms. Lori  Marker SPHR,VP of HR,NA
AKU,Ms. Laurie R. Miller,Chief HR Officer,1967
AKU,Mr. Mohammad  Saleem,Sr. VP of Financial Reporting,NA
ALA,Mr. Randall L. Crawford,"Pres, CEO & Non-Independent Director",1963
ALA,"Mr. D. James Harbilas B.Com., C.A., CPA, CA",Exec. VP & CFO,1970
ALA,Ms. Corine Renne Knight Bushfield,Exec. VP & Chief Admin. Officer,1975
ALA,"Mr. Randy W. Toone B.Sc., P.Eng",Exec. VP & Pres of Midstream,NA
ALA,"Mr. Donald M. Jenkins B.Sc., M.B.A.",Exec. VP and Pres of Utilities & Washington Gas Light Company,1973
ALA,Mr. Jon  Morrison,Sr. VP of Investor Relations & Corp. Devel.,NA
ALA,"Mr. Bradley B. Grant Esq., B.Comm, LLB, MBA",Exec. VP & Chief Legal Officer,NA
ALA,Mr. Kent E. Stout,Sr. VP of Organizational Devel.,NA
ALA,Mr. Joy Sumanan Thakur,Sr. VP of Commercial & Bus. Operations,NA
ALA,Mr. James  Shelford,Sr. VP of Commercial,1984
ALA-PA,Mr. Randall L. Crawford,"Pres, CEO & Non-Independent Director",1963
ALA-PA,"Mr. D. James Harbilas B.Com., C.A., CPA, CA",Exec. VP & CFO,1970
ALA-PA,Ms. Corine Renne Knight Bushfield,Exec. VP & Chief Admin. Officer,1975
ALA-PA,"Mr. Randy W. Toone B.Sc., P.Eng",Exec. VP & Pres of Midstream,NA
ALA-PA,"Mr. Donald M. Jenkins B.Sc., M.B.A.",Exec. VP and Pres of Utilities & Washington Gas Light Company,1973
ALA-PA,Mr. Jon  Morrison,Sr. VP of Investor Relations & Corp. Devel.,NA
ALA-PA,"Mr. Bradley B. Grant Esq., B.Comm, LLB, MBA",Exec. VP & Chief Legal Officer,NA
ALA-PA,Mr. Kent E. Stout,Sr. VP of Organizational Devel.,NA
ALA-PA,Mr. Joy Sumanan Thakur,Sr. VP of Commercial & Bus. Operations,NA
ALA-PA,Mr. James  Shelford,Sr. VP of Commercial,1984
ALA-PB,Mr. Randall L. Crawford,"Pres, CEO & Non-Independent Director",1963
ALA-PB,"Mr. D. James Harbilas B.Com., C.A., CPA, CA",Exec. VP & CFO,1970
ALA-PB,Ms. Corine Renne Knight Bushfield,Exec. VP & Chief Admin. Officer,1975
ALA-PB,"Mr. Randy W. Toone B.Sc., P.Eng",Exec. VP & Pres of Midstream,NA
ALA-PB,"Mr. Donald M. Jenkins B.Sc., M.B.A.",Exec. VP and Pres of Utilities & Washington Gas Light Company,1973
ALA-PB,Mr. Jon  Morrison,Sr. VP of Investor Relations & Corp. Devel.,NA
ALA-PB,"Mr. Bradley B. Grant Esq., B.Comm, LLB, MBA",Exec. VP & Chief Legal Officer,NA
ALA-PB,Mr. Kent E. Stout,Sr. VP of Organizational Devel.,NA
ALA-PB,Mr. Joy Sumanan Thakur,Sr. VP of Commercial & Bus. Operations,NA
ALA-PB,Mr. James  Shelford,Sr. VP of Commercial,1984
ALA-PE,Mr. Randall L. Crawford,"Pres, CEO & Non-Independent Director",1963
ALA-PE,"Mr. D. James Harbilas B.Com., C.A., CPA, CA",Exec. VP & CFO,1970
ALA-PE,Ms. Corine Renne Knight Bushfield,Exec. VP & Chief Admin. Officer,1975
ALA-PE,"Mr. Randy W. Toone B.Sc., P.Eng",Exec. VP & Pres of Midstream,NA
ALA-PE,"Mr. Donald M. Jenkins B.Sc., M.B.A.",Exec. VP and Pres of Utilities & Washington Gas Light Company,1973
ALA-PE,Mr. Jon  Morrison,Sr. VP of Investor Relations & Corp. Devel.,NA
ALA-PE,"Mr. Bradley B. Grant Esq., B.Comm, LLB, MBA",Exec. VP & Chief Legal Officer,NA
ALA-PE,Mr. Kent E. Stout,Sr. VP of Organizational Devel.,NA
ALA-PE,Mr. Joy Sumanan Thakur,Sr. VP of Commercial & Bus. Operations,NA
ALA-PE,Mr. James  Shelford,Sr. VP of Commercial,1984
ALA-PG,Mr. Randall L. Crawford,"Pres, CEO & Non-Independent Director",1963
ALA-PG,"Mr. D. James Harbilas B.Com., C.A., CPA, CA",Exec. VP & CFO,1970
ALA-PG,Ms. Corine Renne Knight Bushfield,Exec. VP & Chief Admin. Officer,1975
ALA-PG,"Mr. Randy W. Toone B.Sc., P.Eng",Exec. VP & Pres of Midstream,NA
ALA-PG,"Mr. Donald M. Jenkins B.Sc., M.B.A.",Exec. VP and Pres of Utilities & Washington Gas Light Company,1973
ALA-PG,Mr. Jon  Morrison,Sr. VP of Investor Relations & Corp. Devel.,NA
ALA-PG,"Mr. Bradley B. Grant Esq., B.Comm, LLB, MBA",Exec. VP & Chief Legal Officer,NA
ALA-PG,Mr. Kent E. Stout,Sr. VP of Organizational Devel.,NA
ALA-PG,Mr. Joy Sumanan Thakur,Sr. VP of Commercial & Bus. Operations,NA
ALA-PG,Mr. James  Shelford,Sr. VP of Commercial,1984
ALA-PH,Mr. Randall L. Crawford,"Pres, CEO & Non-Independent Director",1963
ALA-PH,"Mr. D. James Harbilas B.Com., C.A., CPA, CA",Exec. VP & CFO,1970
ALA-PH,Ms. Corine Renne Knight Bushfield,Exec. VP & Chief Admin. Officer,1975
