 TICKER,DATE,PERIOD,GROWTH,EARNINGS ESTIMATE AVG,EARNINGS ESTIMATE LOW,EARNINGS ESTIMATE HIGH,EARNINGS ESTIMATE YEAR AGO EPS,EARNINGS ESTIMATE NUMBER OF ANALYSTS,EARNINGS ESTIMATE GROWTH,REVENUE ESTIMATE AVG,REVENUE ESTIMATE LOW,REVENUE ESTIMATE HIGH,REVENUE ESTIMATE YEAR AGO EPS,REVENUE ESTIMATE NUMBER OF ANALYSTS,REVENUE ESTIMATE GROWTH,EPS TREND CURRENT,EPS TREND7DAYS AGO,EPS TREND30DAYS AGO,EPS TREND60DAYS AGO,EPS TREND90DAYS AGO,EPS REVISIONS UP LAST7DAYS,EPS REVISIONS UP LAST30DAYS,EPS REVISIONS DOWN LAST7DAYS,EPS REVISIONS DOWN LAST30DAYS
SAKSOFT,2018-03-31,0y,0.1900,0.0000,0.0000,0.0000,16.8100,0.0000,0.1900,2858700000.00,2874340000.00,2874340000.00,,1.00,0.1020,0.0000,20.0100,20.0100,20.0100,20.0100,0.0000,0.0000,0.0000,
SAKSOFT,2017-12-31,0q,,0.0000,0.0000,0.0000,,0.0000,,752446000.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
SAKUMA,2020-03-31,+1y,0.1460,1.1800,1.1800,1.1800,1.0300,1.0000,0.1460,27228500000.00,27228500000.00,27228500000.00,,1.00,0.1260,1.1800,11.7500,11.7500,11.7500,11.7500,0.0000,0.0000,0.0000,0.0000
SAKUMA,2019-03-31,0y,0.0400,1.0300,1.0300,1.0300,0.9900,1.0000,0.0400,24181600000.00,24181600000.00,24181600000.00,,1.00,0.1070,1.0300,10.2800,10.2800,10.2800,10.2800,0.0000,0.0000,0.0000,0.0000
SAKUMA,2018-12-31,+1q,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SAKUMA,2018-09-30,0q,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SAKUMA,2018-06-30,0q,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
SALASAR,2020-03-31,+1y,,0.0000,0.0000,0.0000,27.2100,0.0000,,7177370000.00,7177370000.00,7177370000.00,,1.00,0.1800,0.0000,31.6800,31.6800,31.6800,31.6800,0.0000,0.0000,0.0000,0.0000
SALASAR,2019-03-31,0y,0.1340,0.0000,0.0000,0.0000,24.0000,0.0000,0.1340,6082510000.00,6082510000.00,6082510000.00,,1.00,0.2290,0.0000,27.1000,27.1000,27.1000,27.1000,0.0000,0.0000,0.0000,0.0000
SALASAR,2018-12-31,0q,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
