 TICKER,DATE,EPS ACTUAL
DBREALTY,2022-12-31,0
DCAL,2022-12-31,0
DCBBANK,2022-12-31,6.7
DCBBANK,2022-03-31,9.19
DCBBANK,2021-03-31,7.03
DCBBANK,2018-03-31,7.84
DCBBANK,2017-03-31,3.59
DCMSHRIRAM,2022-12-31,0
DCMSHRIRAM,2018-03-31,41.22
DCMSRIND,2022-12-31,0
DCW,2022-12-31,-0.04
DECCANCE,2022-12-31,0
DEEPAKFERT,2022-12-31,0
DEEPAKNTR,2022-12-31,0
DELPHIFX,2022-12-31,0
DELTACORP,2022-12-31,0
DELTAMAGNT,2022-12-31,0
DEN,2022-12-31,0
DEN,2018-03-31,-0.56
DEVYANI,2022-09-30,1.19
DEVYANI,2022-03-31,1.16
DFMFOODS,2022-12-31,0
DHAMPURSUG,2022-12-31,0
DHANI,2022-12-31,0
DHANUKA,2022-12-31,71.13
DHANUKA,2017-03-31,10.17
DHARAMSI,2022-12-31,0
DIAMONDYD,2022-12-31,0
DICIND,2022-12-31,7.47
DISHTV,2022-12-31,1.26
DIVISLAB,2022-12-31,25.01
DIVISLAB,2018-03-31,32.75
DIVISLAB,2017-03-31,9.77
DIXON,2022-12-31,20.46
DIXON,2022-03-31,18.34
DIXON,2018-03-31,12.63
DLF,2022-12-31,3.83
DLF,2022-03-31,8.66
DLF,2018-03-31,-23.98
DLF,2017-03-31,0.81
DLINKINDIA,2022-12-31,0
DMART,2022-12-31,21.04
DMART,2022-03-31,30
DMART,2018-03-31,9.63
DMCC,2022-12-31,0
DOLATALGO,2022-12-31,0
DOLLAR,2022-12-31,6.82
DOLLAR,2022-03-31,3.41
DOLLAR,2021-03-31,3.41
DONEAR,2022-12-31,0.09
DPSCLTD,2022-12-31,0.0657
DPSCLTD,2022-03-31,0.1415
DPSCLTD,2021-03-31,0.2691
DPSCLTD,2020-03-31,0.0678
DPSCLTD,2013-03-31,0.2832
DPSCLTD,2012-03-31,0.0507
DPWIRES,2022-09-30,12.265
DPWIRES,2022-03-31,21.413
DRREDDY,2022-12-31,138.47
DRREDDY,2022-03-31,88.93
DRREDDY,2017-03-31,49.99
DTIL,2022-12-31,0
DWARKESH,2022-12-31,0
DYNAMATECH,2022-12-31,0
DYNPRO,2022-12-31,0
ECLERX,2022-12-31,44.56
ECLERX,2022-03-31,155.88
ECLERX,2018-03-31,67.68
ECLERX,2017-03-31,39.52
EDELWEISS,2022-12-31,2.94
EDELWEISS,2018-03-31,7.42
EDELWEISS,2017-03-31,1.92
EICHERMOT,2022-12-31,0
EIFFL,2022-09-30,0
EIHAHOTELS,2022-12-31,0
EIHOTEL,2022-12-31,0
EIMCOELECO,2022-12-31,0
EKC,2022-12-31,1.65
ELDEHSG,2022-12-31,0
ELECON,2022-12-31,-3.79
ELECON,2017-03-31,1.92
ELECTCAST,2022-12-31,0
ELECTHERM,2022-12-31,0
ELGIEQUIP,2022-12-31,0
ELGIEQUIP,2018-03-31,6.18
ELGIRUBCO,2022-09-30,1.1681
ELGIRUBCO,2022-03-31,-3.2674
ELGIRUBCO,2021-03-31,0.2349
ELGIRUBCO,2020-03-31,-3.0367
ELGIRUBCO,2019-03-31,-3.2191
ELGIRUBCO,2018-03-31,-1.2051
ELGIRUBCO,2017-03-31,-1.5782
ELGIRUBCO,2016-03-31,-2.2882
ELGIRUBCO,2015-03-31,-4.4659
ELGIRUBCO,2014-03-31,2.1904
ELGIRUBCO,2013-03-31,4.502
ELGIRUBCO,2012-03-31,-0.3333
EMAMILTD,2022-12-31,0
EMAMIPAP,2022-12-31,0
EMBASSY,2022-12-31,0
EMKAY,2018-06-30,2.85
EMMBI,2022-12-31,0
EMMBI,2018-03-31,6.51
ENDURANCE,2022-12-31,6.86
ENGINERSIN,2022-12-31,2.92
ENGINERSIN,2018-03-31,5.83
ENIL,2022-12-31,-6.4
ENIL,2021-03-31,7.85
ENIL,2017-03-31,6.31
EPL,2022-12-31,4.66
EQUITAS,2022-12-31,0
EQUITAS,2018-03-31,0.9
EQUITAS,2017-03-31,1.51
EQUITASBNK,2022-12-31,0
ERIS,2022-12-31,0
EROSMEDIA,2017-03-31,3.53
ESABINDIA,2022-12-31,0
ESCORTS,2022-12-31,23.72
ESCORTS,2022-03-31,44.89
ESCORTS,2021-03-31,60.42
ESCORTS,2018-03-31,29.42
ESCORTS,2017-03-31,5.79
EVERESTIND,2022-12-31,0
EXCEL,2022-12-31,0
EXCELINDUS,2022-12-31,0
EXIDEIND,2022-12-31,0
EXPLEOSOL,2022-12-31,0
EXPLEOSOL,2017-03-31,4.03
FACT,2022-12-31,0
