 TICKER,DATE,DATE FORMATTED,SHARES MLN,SHARES
GOOGL,2011,2011-12-31,13160.0000,13160000000
GOOGL,2010,2010-12-31,13008.8352,13008835200
GOOGL,2009,2009-12-31,12880.0000,12880000000
GOOGL,2008,2008-12-31,12680.0000,12680000000
GOOGL,2007,2007-12-31,12720.0000,12720000000
GOOGL,2006,2006-12-31,12540.0000,12540000000
GOOGL,2005,2005-12-31,12160.0000,12160000000
GOOGL,2004,2004-12-31,11440.0000,11440000000
GOOGL,2003,2003-12-31,10500.0000,10500000000
GOOGL,2002,2002-12-31,9440.0000,9440000000
AMZN,2022,2022-12-31,10331.0000,10331000000
AMZN,2021,2021-12-31,10320.0000,10320000000
AMZN,2020,2020-12-31,10260.0000,10260000000
AMZN,2019,2019-12-31,10100.0000,10100000000
AMZN,2018,2018-12-31,10020.0000,10020000000
AMZN,2017,2017-12-31,9920.0000,9920000000
AMZN,2016,2016-12-31,9720.0000,9720000000
AMZN,2015,2015-12-31,9620.0000,9620000000
AMZN,2014,2014-12-31,9440.0000,9440000000
AMZN,2013,2013-12-31,9340.0000,9340000000
AMZN,2012,2012-12-31,9220.0000,9220000000
AMZN,2011,2011-12-31,9200.0000,9200000000
AMZN,2010,2010-12-31,9180.0000,9180000000
AMZN,2009,2009-12-31,9080.0000,9080000000
AMZN,2008,2008-12-31,8740.0000,8740000000
AMZN,2007,2007-12-31,8520.0000,8520000000
AMZN,2006,2006-12-31,8400.0000,8400000000
AMZN,2005,2005-12-31,8520.0000,8520000000
AMZN,2004,2004-12-31,8460.0000,8460000000
AMZN,2003,2003-12-31,8490.3800,8490379999.999999
AMZN,2002,2002-12-31,7770.8200,7770820000
AMZN,2001,2001-12-31,7460.6200,7460620000
AMZN,2000,2000-12-31,7148.4800,7148480000
AMZN,1999,1999-12-31,6877.6800,6877680000
AMZN,1998,1998-12-31,6275.8800,6275880000
AMZN,1997,1997-12-31,932.4400,932440000
AMZN,1996,1996-12-31,5731.8800,5731880000
AMZN,1995,1995-12-31,6033.3333,6033333300
UNH,2022,2022-12-31,948.0000,948000000
UNH,2021,2021-12-31,955.0000,955000000
UNH,2020,2020-12-31,961.0000,961000000
UNH,2019,2019-12-31,962.0000,962000000
UNH,2018,2018-12-31,982.0000,982000000
UNH,2017,2017-12-31,991.0000,991000000
UNH,2016,2016-12-31,970.0000,970000000
UNH,2015,2015-12-31,967.0000,967000000
UNH,2014,2014-12-31,973.0000,973000000
UNH,2013,2013-12-31,1014.0000,1014000000
UNH,2012,2012-12-31,1037.0000,1037000000
UNH,2011,2011-12-31,1060.0000,1060000000
UNH,2010,2010-12-31,1099.0000,1099000000
UNH,2009,2009-12-31,1156.0000,1156000000
UNH,2008,2008-12-31,1210.0000,1210000000
UNH,2007,2007-12-31,1278.0000,1278000000
UNH,2006,2006-12-31,1395.0000,1395000000
UNH,2005,2005-12-31,1421.0000,1421000000
UNH,2004,2004-12-31,1340.0000,1340000000
UNH,2003,2003-12-31,1260.0000,1260000000
UNH,2002,2002-12-31,1246.4000,1246400000
UNH,2001,2001-12-31,1229.6000,1229600000
UNH,2000,2000-12-31,1328.0000,1328000000
UNH,1999,1999-12-31,1348.8000,1348800000
UNH,1998,1998-12-31,1464.0000,1464000000
UNH,1997,1997-12-31,1592.0000,1592000000
UNH,1996,1996-12-31,1514.6400,1514640000
UNH,1995,1995-12-31,1443.7600,1443760000
UNH,1994,1994-12-31,1411.2240,1411224000
UNH,1993,1993-12-31,1224.7619,1224761900
